| metric | pro point | pro 2.5% | pro 50% | pro 97.5% | ext point | ext 2.5% | ext 50% | ext 97.5% |
|---|---|---|---|---|---|---|---|---|
| macro-AUC (frame-level OVR) | 0.8655 | 0.8405 | 0.8654 | 0.8902 | 0.8572 | 0.8343 | 0.8570 | 0.8765 |
| balanced accuracy (patient-level) | 0.6682 | 0.6103 | 0.6681 | 0.7220 | 0.5951 | 0.5477 | 0.5947 | 0.6391 |
| patient-level accuracy (majority vote) | 0.6941 | 0.6494 | 0.6918 | 0.7365 | 0.6412 | 0.5979 | 0.6412 | 0.6825 |
| T1 recall (frame-level) | 0.7981 | 0.7526 | 0.7981 | 0.8432 | 0.6334 | 0.5475 | 0.6336 | 0.7118 |
| T2 recall (frame-level) | 0.5481 | 0.3999 | 0.5493 | 0.6957 | 0.4922 | 0.3682 | 0.4934 | 0.5947 |
| T3 recall (frame-level) | 0.6720 | 0.6096 | 0.6709 | 0.7277 | 0.6940 | 0.6363 | 0.6926 | 0.7449 |
| T4+ recall (frame-level) | 0.7362 | 0.6992 | 0.7362 | 0.7743 | 0.7621 | 0.7252 | 0.7612 | 0.7997 |
| T2→T3 over-stage (4-class, frame-level) | 0.0577 | 0.0250 | 0.0573 | 0.0926 | 0.2006 | 0.1411 | 0.2000 | 0.2625 |
