experiment_id,task,display_name,status,config_path,run_dir,metrics_summary_path,data_version,notes
detection_baseline_v1,detection,YOLO11 lesion baseline,current,experiments/baselines/detection_baseline_v1/,experiments/baselines/detection_baseline_v1/,,dataset_v20260407,见 YOLO11_BASELINE_PIPELINE.md
segmentation_baseline_v1,segmentation,SMS/UNet baseline,current,experiments/baselines/segmentation_baseline_v1/,experiments/baselines/segmentation_baseline_v1/,,dataset_v20260407,see experiments/baselines README + run_pointer.txt
tstage_baseline_v1,tstage,T-stage baseline entry,current,experiments/baselines/tstage_baseline_v1/,experiments/baselines/tstage_baseline_v1/,pipeline/experiments/tables/tstaging_4class_mainline_scoreboard.csv,,see experiments/baselines README + run_pointer.txt
baseline_locked,tstage,Full Image + ROI + Clinical(22D),frozen,pipeline/configs/tstaging_4class_dual_v2_clinical22_full.yaml,,pipeline/experiments/reports/tstaging_4class_mainline_summary.md,tstage_4class_region_contrastive_full,primary promoted; external_auc=0.7276
structure_mask4ch_clinical22,tstage,Predicted Mask(4ch) + Clinical(22D),frozen,pipeline/configs/tstaging_4class_dual_v2_mask4ch_clinical22_full.yaml,pipeline/experiments/tree/gastric_tstage_4class/classification/dual_mask4ch/tstaging_4class_dual_v2_mask4ch_clinical22_full_20260423_092301,pipeline/experiments/tables/tstaging_4class_mainline_scoreboard.csv,tstage_4class_region_contrastive_full,frozen baseline_registry
deploy_predicted_roi_clinical22,tstage,Predicted ROI + Clinical(22D),stop,pipeline/configs/tstaging_4class_dual_v2_predroi_clinical22_full.yaml,,pipeline/experiments/tables/tstaging_4class_mainline_scoreboard.csv,tstage_4class_region_contrastive_full,external_auc=0.7153; prospective_auc=0.6553
deploy_predicted_roi_mask4ch_clinical22,tstage,Predicted ROI + Predicted Mask + Clinical(22D),keepforreference,pipeline/configs/tstaging_4class_dual_v2_predroi_mask4ch_clinical22_full.yaml,,pipeline/experiments/tables/tstaging_4class_mainline_scoreboard.csv,tstage_4class_region_contrastive_full,external_auc=0.7438; prospective_auc=0.6683
breakthrough_regionaware_clinical22,tstage,Breakthrough / Direction Prior + Clinical(22D),keepforreference,pipeline/configs/tstaging_4class_regionaware_clinical22_full.yaml,,pipeline/experiments/tables/tstaging_4class_mainline_scoreboard.csv,tstage_4class_region_contrastive_full,external_auc=0.7480; prospective_auc=0.6857
wall_aux_mask4ch_clinical22,tstage,Mask4ch + Structured Wall Aux + Clinical(22D),stop,pipeline/configs/tstaging_4class_dual_v2_mask4ch_wallaux_clinical22_full.yaml,,pipeline/experiments/tables/tstaging_4class_mainline_scoreboard.csv,tstage_4class_region_contrastive_full,external_auc=0.7248; prospective_auc=0.7228
