cohort,raw_id,reader_label,title,hospital_level,province,gi_us_years,expertise_tier_primary,maps_to_round1_doctor_id,source_file,notes
early_100_ai_favorable_subset,zy01,Doctor 1 (early subset),住院医师,三级甲等,福建省,5,junior,unknown_do_not_auto_map,docs/clinical_validation/reader_study_150/multireader_5readers_en/reader_inputs/reader_session_mq81svs5_1781615436647.json,Early AI-favorable 100-case subset only; not interchangeable with Doctor_XX Round1 IDs
early_100_ai_favorable_subset,qqf,Doctor 3 (early subset),主治医师,三级甲等,,10,senior,unknown_do_not_auto_map,docs/clinical_validation/reader_study_150/multireader_5readers_en/reader_inputs/reader_session_mqhlqtpi_1781700024643.json,Early AI-favorable 100-case subset only; not interchangeable with Doctor_XX Round1 IDs
early_100_ai_favorable_subset,czk,Doctor 4 (early subset),主任医师,三级甲等,,10,senior,unknown_do_not_auto_map,docs/clinical_validation/reader_study_150/multireader_5readers_en/reader_inputs/reader_session_mqjb3wb2_1781824329689.json,Early AI-favorable 100-case subset only; not interchangeable with Doctor_XX Round1 IDs
early_100_ai_favorable_subset,cyh,Doctor 5 (early subset),主治医师,三级甲等,,7,intermediate,unknown_do_not_auto_map,docs/clinical_validation/reader_study_150/multireader_5readers_en/reader_inputs/reader_session_mqjlgdxh_1781804643277.json,Early AI-favorable 100-case subset only; not interchangeable with Doctor_XX Round1 IDs
