report,report_short,cohort,level,aggregation,feature_set,model,split,auc_macro_ovr,early_vs_advanced_auc,t1_t2_auc,t2_t3_auc,t3_t4_auc
dinov3_t2t3_expert_calibrated_continue_20260518_152542_topk24_128,T2/T3 expert,Test,patient,—,,,test,0.7815355722659403,0.869849964277209,0.6532212885154062,0.7181372549019608,0.8082337212960051
dinov3_t2t3_expert_calibrated_continue_20260518_152542_topk24_128,T2/T3 expert,Test,patient,—,,,test,0.7815355722659403,0.869849964277209,0.6532212885154062,0.7181372549019608,0.8082337212960051
dinov3_t2t3_expert_calibrated_continue_20260518_152542_topk24_128,T2/T3 expert,Test,patient,—,,,test,0.7815355722659403,0.869849964277209,0.6532212885154062,0.7181372549019608,0.8082337212960051
dinov3_t2t3_expert_calibrated_eval,t2t3 expert calibrated eval,Test,patient,—,,,test,0.7815355722659403,0.869849964277209,0.6532212885154062,0.7181372549019608,0.8082337212960051
dinov3_t2t3_expert_calibrated_eval,t2t3 expert calibrated eval,Test,patient,—,,,test,0.7815355722659403,0.869849964277209,0.6532212885154062,0.7181372549019608,0.8082337212960051
dinov3_t2t3_expert_calibrated_eval,t2t3 expert calibrated eval,Test,patient,—,,,test,0.7815355722659403,0.869849964277209,0.6532212885154062,0.7181372549019608,0.8082337212960051
dinov3_t2t3_expert_calibrated_eval_final_trainval,T2/T3 expert (final),Test,patient,—,,,test,0.7815355722659403,0.869849964277209,0.6532212885154062,0.7181372549019608,0.8082337212960051
dinov3_t2t3_expert_calibrated_eval_final_trainval,T2/T3 expert (final),Test,patient,—,,,test,0.7815355722659403,0.869849964277209,0.6532212885154062,0.7181372549019608,0.8082337212960051
dinov3_t2t3_expert_calibrated_eval_final_trainval,T2/T3 expert (final),Test,patient,—,,,test,0.7815355722659403,0.869849964277209,0.6532212885154062,0.7181372549019608,0.8082337212960051
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,mean,dino_top128_plus_clinical_anatomic,extra_trees,test_prospective_full,0.7813350468478318,0.8617970265029089,0.7071881606765328,0.797138047138047,0.7444923371647509
dinov3_t2t3_expert_calibrated_eval,t2t3 expert calibrated eval,Test,patient,—,,,test,0.781167601312539,0.8696118123362706,0.6591970121381886,0.719002306805075,0.811772569990563
dinov3_t2t3_expert_calibrated_eval,t2t3 expert calibrated eval,Test,patient,calibrated α=0.25,clinical_anatomic+dino_expert,extra_trees+extra_trees,test,0.781167601312539,0.8696118123362706,0.6591970121381886,0.719002306805075,0.811772569990563
