script,status,task,readme_section,owner_workspace,move_candidate,safe_to_run,uses_project_root,notes
repo_env.py,runtime,module,,scripts,scripts/runtime,import_only,true,
repo_paths.py,runtime,governance,,scripts,scripts/runtime,import_only,true,
retrieve_visual_similar_cases.py,utility,utility,6,scripts,scripts/analysis,review,true,
run_adjacent_boundary_expert_calibration.py,runtime,module,,scripts,scripts/runtime,import_only,true,
run_agent_acceptance_inprocess.py,runtime,module,,scripts,scripts/runtime,import_only,true,
run_agent_acceptance_panel.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
run_agent_full_pipeline.py,runtime,module,,scripts,scripts/runtime,import_only,true,
run_basic_concat_tabpfn_mean_20260820.py,legacy,unknown,,scripts,scripts/legacy,no,false,hardcoded paths or README §7
run_beta_m025_phase0.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
run_binary_box_mask_dual_20260825.py,unknown,data_governance,3,scripts,needs_review,review,true,needs manual review
run_binary_multicenter_joint_unseen_20260820.py,current,analysis,3,scripts,scripts/current,yes,true,
run_binary_noshortcut_ab_20260824.py,unknown,data_governance,3,scripts,needs_review,review,true,needs manual review
run_binary_zmlholdout_clinmask_20260825.py,unknown,data_governance,3,scripts,needs_review,review,true,needs manual review
run_case_rag_frozen_validation.py,runtime,module,,scripts,scripts/runtime,import_only,true,
run_clean_dino_prompt_policy.py,utility,utility,6,scripts,scripts/analysis,review,true,
run_clinical_loop_correction_finetune.py,current,segmentation,6,scripts,scripts/current,yes,true,
run_clinical_loop_promotion_gate.py,current,segmentation,6,scripts,scripts/current,yes,true,
run_clinical_loop_static_benchmark.py,current,segmentation,6,scripts,scripts/current,yes,true,
run_dino_cine_evidence_score.py,runtime,module,,scripts,scripts/runtime,import_only,true,
run_dino_gatec_tab_beta_20260828.py,runtime,module,,scripts,scripts/runtime,import_only,true,
run_dino_gc_us_sign_fusion_probe.py,runtime,module,,scripts,scripts/runtime,import_only,true,
run_dino_guided_prompt_policy.py,utility,utility,6,scripts,scripts/analysis,review,true,
run_dino_guided_reprompt_ab.py,utility,utility,6,scripts,scripts/analysis,review,true,
run_dinov3_feature_combined_baseline.py,runtime,module,,scripts,scripts/runtime,import_only,true,
run_dinov3_framelevel_scalar_train_eval.py,current,analysis,,scripts,scripts/current,yes,true,
run_dinov3_mask_gated_fusion_mlp.py,runtime,module,,scripts,scripts/runtime,import_only,true,
run_dinov3_mlp_long_training.sh,utility,shell,7,scripts,scripts/analysis,review,false,
run_dinov3_rich_scalar_trainset_eval.py,runtime,module,,scripts,scripts/runtime,import_only,true,
run_dinov3_segmentation.py,runtime,module,,scripts,scripts/runtime,import_only,true,
run_dinov3_t2t3_expert_calibrated_eval.py,runtime,module,,scripts,scripts/runtime,import_only,true,
run_dinov3_trainset_feature_eval.py,runtime,module,,scripts,scripts/runtime,import_only,true,
run_dual_transformer_tabfm_20260816.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
run_e2e_react_demo.py,runtime,module,,scripts,scripts/runtime,import_only,true,
run_efficientsam3_inference.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
run_efficientsam3_train.py,runtime,module,,scripts,scripts/runtime,import_only,true,
run_efficientsam3_video_canary.py,runtime,module,,scripts,scripts/runtime,import_only,true,
run_evolution_replay.py,runtime,module,8,scripts,scripts/runtime,import_only,true,
run_frame_attn_tabfm_max_20260816.py,runtime,module,,scripts,scripts/runtime,import_only,true,
run_framelevel_ensemble_optimized_eval.py,runtime,module,,scripts,scripts/runtime,import_only,true,
run_framelevel_ft_transformer_eval.py,runtime,module,,scripts,scripts/runtime,import_only,true,
run_framelevel_tabular_mlp_eval.py,runtime,module,,scripts,scripts/runtime,import_only,true,
run_frozen_agent_validation_20260809.py,runtime,module,,scripts,scripts/runtime,import_only,true,
run_ft_transformer_rf_distillation.py,runtime,module,,scripts,scripts/runtime,import_only,true,
run_full_video_preprocess.py,unknown,data_governance,3,scripts,needs_review,review,true,needs manual review
run_gastric_next_dev.sh,utility,shell,7,scripts,scripts/analysis,review,false,
run_gastric_us_multimodal_agent.py,runtime,module,,scripts,scripts/runtime,import_only,true,
run_gastricus_binary_graft.py,runtime,module,,scripts,scripts/runtime,import_only,true,
run_gastricus_committee.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
run_gastricus_early_recal.py,runtime,module,,scripts,scripts/runtime,import_only,true,
run_gastricus_frame_agg.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
run_gastricus_fusion_stack_mix.py,runtime,module,,scripts,scripts/runtime,import_only,true,
run_gastricus_multidual_fusion.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
run_gastricus_stack_alldual.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
run_gastricus_stack_dual.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
run_gastricus_t123.py,runtime,module,,scripts,scripts/runtime,import_only,true,
run_gastricus_t34_recal.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
run_gastricus_tabpfn_mix.py,runtime,module,,scripts,scripts/runtime,import_only,true,
run_gus_mask2stage_20260826.py,unknown,data_governance,3,scripts,needs_review,review,true,needs manual review
run_image_dino_feature_fusion_eval.py,runtime,module,,scripts,scripts/runtime,import_only,true,
run_interactive_unet_finetune.py,utility,utility,6,scripts,scripts/analysis,review,true,
